"AphiaID";"ScientificName";"Name";"Rank";"Authority";"Kingdom";"Phylum";"ParentID";"url"
129938;"Aphelochaeta marioni";"Aphelochaeta marioni";"Species";"(Saint-Joseph, 1894)";"Animalia";"Annelida";129240;"http://marinespecies.org/aphia.php?p=taxdetails&id=129938"
389288;"Hemigrapsus takanoi";"Hemigrapsus takanoi";"Species";"Asakura & Watanabe, 2005";"Animalia";"Arthropoda";106964;"http://marinespecies.org/aphia.php?p=taxdetails&id=389288"
181523;"Marenzelleria neglecta";"Marenzelleria neglecta";"Species";"Sikorski & Bick, 2004";"Animalia";"Annelida";129615;"http://marinespecies.org/aphia.php?p=taxdetails&id=181523"
131135;"Marenzelleria viridis";"Marenzelleria viridis";"Species";"(Verrill, 1873)";"Animalia";"Annelida";129615;"http://marinespecies.org/aphia.php?p=taxdetails&id=131135"
102296;"Gammarus tigrinus";"Gammarus tigrinus";"Species";"Sexton, 1939";"Animalia";"Arthropoda";101537;"http://marinespecies.org/aphia.php?p=taxdetails&id=102296"
103788;"Molgula manhattensis";"Molgula manhattensis";"Species";"(De Kay, 1843)";"Animalia";"Chordata";103509;"http://marinespecies.org/aphia.php?p=taxdetails&id=103788"
147123;"Potamopyrgus antipodarum";"Potamopyrgus antipodarum";"Species";"(Gray, 1843)";"Animalia";"Mollusca";147122;"http://marinespecies.org/aphia.php?p=taxdetails&id=147123"
151158;"Micropogonias undulatus";"Micropogonias undulatus";"Species";"(Linnaeus, 1766)";"Animalia";"Chordata";151157;"http://marinespecies.org/aphia.php?p=taxdetails&id=151158"
126280;"Huso huso";"Huso huso";"Species";"(Linnaeus, 1758)";"Animalia";"Chordata";125619;"http://marinespecies.org/aphia.php?p=taxdetails&id=126280"
276312;"Hypleurochilus bermudensis";"Hypleurochilus bermudensis";"Species";"Beebe & Tee-Van, 1933";"Animalia";"Chordata";159601;"http://marinespecies.org/aphia.php?p=taxdetails&id=276312"
126275;"Acipenser gueldenstaedtii";"Acipenser gueldenstaedtii";"Species";"Brandt & Ratzeburg, 1833";"Animalia";"Chordata";125618;"http://marinespecies.org/aphia.php?p=taxdetails&id=126275"
276012;"Holacanthus ciliaris";"Holacanthus ciliaris";"Species";"(Linnaeus, 1758)";"Animalia";"Chordata";159282;"http://marinespecies.org/aphia.php?p=taxdetails&id=276012"
154314;"Ctenopharyngodon idella";"Ctenopharyngodon idella";"Species";"(Valenciennes, 1844)";"Animalia";"Chordata";154313;"http://marinespecies.org/aphia.php?p=taxdetails&id=154314"
126782;"Scartella cristata";"Scartella cristata";"Species";"(Linnaeus, 1758)";"Animalia";"Chordata";125923;"http://marinespecies.org/aphia.php?p=taxdetails&id=126782"
154582;"Cyprinus carpio";"Cyprinus carpio";"Species";"Linnaeus, 1758";"Animalia";"Chordata";154280;"http://marinespecies.org/aphia.php?p=taxdetails&id=154582"
154241;"Salvelinus fontinalis";"Salvelinus fontinalis";"Species";"(Mitchill, 1814)";"Animalia";"Chordata";126142;"http://marinespecies.org/aphia.php?p=taxdetails&id=154241"
154600;"Hypophthalmichthys nobilis";"Hypophthalmichthys nobilis";"Species";"(Richardson, 1845)";"Animalia";"Chordata";154318;"http://marinespecies.org/aphia.php?p=taxdetails&id=154600"
127182;"Oncorhynchus gorbuscha";"Oncorhynchus gorbuscha";"Species";"(Walbaum, 1792)";"Animalia";"Chordata";126140;"http://marinespecies.org/aphia.php?p=taxdetails&id=127182"
